sni_id,year,nox_avgift
rederier,2022,0
rederier,2023,
flygbolag,2007,
flygbolag,2008,0
flygbolag,2009,0
flygbolag,2010,0
flygbolag,2011,0
flygbolag,2012,0
flygbolag,2013,0
flygbolag,2014,0
flygbolag,2015,0
flygbolag,2016,0
flygbolag,2017,0
flygbolag,2018,0
flygbolag,2019,0
flygbolag,2020,0
flygbolag,2021,0
flygbolag,2022,0
flygbolag,2023,
magasinering,2007,
magasinering,2008,0
magasinering,2009,0
magasinering,2010,0
magasinering,2011,0
magasinering,2012,0
magasinering,2013,0
magasinering,2014,0
magasinering,2015,0
magasinering,2016,0
magasinering,2017,0
magasinering,2018,0
magasinering,2019,0
magasinering,2020,0
magasinering,2021,0
magasinering,2022,0
magasinering,2023,
hotell_rest_i,2007,
hotell_rest_i,2008,0
hotell_rest_i,2009,0
hotell_rest_i,2010,0
hotell_rest_i,2011,0
hotell_rest_i,2012,0
hotell_rest_i,2013,0
hotell_rest_i,2014,0
hotell_rest_i,2015,0
hotell_rest_i,2016,0
hotell_rest_i,2017,0
hotell_rest_i,2018,0
hotell_rest_i,2019,0
hotell_rest_i,2020,0
hotell_rest_i,2021,0
hotell_rest_i,2022,0
hotell_rest_i,2023,
forlag,2007,
forlag,2008,0
forlag,2009,0
forlag,2010,0
forlag,2011,0
forlag,2012,0
forlag,2013,0
forlag,2014,0
forlag,2015,0
forlag,2016,0
forlag,2017,0
forlag,2018,0
forlag,2019,0
forlag,2020,0
forlag,2021,0
forlag,2022,0
forlag,2023,
film_vide_j,2007,
film_vide_j,2008,0
film_vide_j,2009,0
film_vide_j,2010,0
film_vide_j,2011,0
film_vide_j,2012,0
film_vide_j,2013,0
film_vide_j,2014,0
film_vide_j,2015,0
film_vide_j,2016,0
film_vide_j,2017,0
film_vide_j,2018,0
film_vide_j,2019,0
film_vide_j,2020,0
film_vide_j,2021,0
film_vide_j,2022,0
film_vide_j,2023,
telekommunikation_j,2007,
telekommunikation_j,2008,0
telekommunikation_j,2009,0
telekommunikation_j,2010,0
telekommunikation_j,2011,0
telekommunikation_j,2012,0
telekommunikation_j,2013,0
telekommunikation_j,2014,0
telekommunikation_j,2015,0
telekommunikation_j,2016,0
telekommunikation_j,2017,0
telekommunikation_j,2018,0
telekommunikation_j,2019,0
telekommunikation_j,2020,0
telekommunikation_j,2021,0
telekommunikation_j,2022,0
telekommunikation_j,2023,
dataprogrammering_data,2007,
dataprogrammering_data,2008,0
dataprogrammering_data,2009,0
dataprogrammering_data,2010,0
dataprogrammering_data,2011,0
dataprogrammering_data,2012,0
dataprogrammering_data,2013,0
dataprogrammering_data,2014,0
dataprogrammering_data,2015,0
dataprogrammering_data,2016,0
dataprogrammering_data,2017,0
dataprogrammering_data,2018,0
dataprogrammering_data,2019,0
dataprogrammering_data,2020,0
dataprogrammering_data,2021,0
dataprogrammering_data,2022,0
dataprogrammering_data,2023,
banker,2007,
banker,2008,0
banker,2009,0
banker,2010,0
banker,2011,0
banker,2012,0
banker,2013,0
banker,2014,0
banker,2015,0
banker,2016,0
banker,2017,0
banker,2018,0
banker,2019,0
banker,2020,0
banker,2021,0
banker,2022,0
banker,2023,
forsakrings,2007,
forsakrings,2008,0
forsakrings,2009,0
forsakrings,2010,0
forsakrings,2011,0
forsakrings,2012,0
forsakrings,2013,0
forsakrings,2014,0
forsakrings,2015,0
forsakrings,2016,0
forsakrings,2017,0
forsakrings,2018,0
forsakrings,2019,0
forsakrings,2020,0
forsakrings,2021,0
forsakrings,2022,0
forsakrings,2023,
serviceforetag_fin,2007,
serviceforetag_fin,2008,0
serviceforetag_fin,2009,0
serviceforetag_fin,2010,0
serviceforetag_fin,2011,0
serviceforetag_fin,2012,0
serviceforetag_fin,2013,0
serviceforetag_fin,2014,0
serviceforetag_fin,2015,0
serviceforetag_fin,2016,0
serviceforetag_fin,2017,0
serviceforetag_fin,2018,0
serviceforetag_fin,2019,0
serviceforetag_fin,2020,0
serviceforetag_fin,2021,0
serviceforetag_fin,2022,0
serviceforetag_fin,2023,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,0
fastighetsbolag_g,2009,0
fastighetsbolag_g,2010,0
fastighetsbolag_g,2011,0
fastighetsbolag_g,2012,0
fastighetsbolag_g,2013,0
fastighetsbolag_g,2014,0
fastighetsbolag_g,2015,0
fastighetsbolag_g,2016,0
fastighetsbolag_g,2017,0
fastighetsbolag_g,2018,0
fastighetsbolag_g,2019,0
fastighetsbolag_g,2020,0
fastighetsbolag_g,2021,0
fastighetsbolag_g,2022,0
fastighetsbolag_g,2023,
juridisk_ek,2007,
juridisk_ek,2008,0
juridisk_ek,2009,0
juridisk_ek,2010,0
juridisk_ek,2011,0
juridisk_ek,2012,0
juridisk_ek,2013,0
juridisk_ek,2014,0
juridisk_ek,2015,0
juridisk_ek,2016,0
juridisk_ek,2017,0
juridisk_ek,2018,0
juridisk_ek,2019,0
juridisk_ek,2020,0
juridisk_ek,2021,0
juridisk_ek,2022,0
juridisk_ek,2023,
arkitekt_tekn,2007,
arkitekt_tekn,2008,0
arkitekt_tekn,2009,0
arkitekt_tekn,2010,0
arkitekt_tekn,2011,0
arkitekt_tekn,2012,0
arkitekt_tekn,2013,0
arkitekt_tekn,2014,0
arkitekt_tekn,2015,0
arkitekt_tekn,2016,0
arkitekt_tekn,2017,0
arkitekt_tekn,2018,0
arkitekt_tekn,2019,0
arkitekt_tekn,2020,0
arkitekt_tekn,2021,0
arkitekt_tekn,2022,0
arkitekt_tekn,2023,
reklam_und,2007,
reklam_und,2008,0
reklam_und,2009,0
reklam_und,2010,0
reklam_und,2011,0
reklam_und,2012,0
reklam_und,2013,0
reklam_und,2014,0
reklam_und,2015,0
reklam_und,2016,0
reklam_und,2017,0
reklam_und,2018,0
reklam_und,2019,0
reklam_und,2020,0
reklam_und,2021,0
reklam_und,2022,0
reklam_und,2023,
uthyrningsfirmor,2007,
uthyrningsfirmor,2008,0
uthyrningsfirmor,2009,0
uthyrningsfirmor,2010,0
uthyrningsfirmor,2011,0
uthyrningsfirmor,2012,0
uthyrningsfirmor,2013,0
uthyrningsfirmor,2014,0
uthyrningsfirmor,2015,0
uthyrningsfirmor,2016,0
uthyrningsfirmor,2017,0
uthyrningsfirmor,2018,0
uthyrningsfirmor,2019,0
uthyrningsfirmor,2020,0
uthyrningsfirmor,2021,0
uthyrningsfirmor,2022,0
uthyrningsfirmor,2023,
arbetsformedling_rese,2007,
arbetsformedling_rese,2008,0
arbetsformedling_rese,2009,0
arbetsformedling_rese,2010,0
arbetsformedling_rese,2011,0
arbetsformedling_rese,2012,0
arbetsformedling_rese,2013,0
arbetsformedling_rese,2014,0
arbetsformedling_rese,2015,0
arbetsformedling_rese,2016,0
arbetsformedling_rese,2017,0
arbetsformedling_rese,2018,0
arbetsformedling_rese,2019,0
arbetsformedling_rese,2020,0
arbetsformedling_rese,2021,0
arbetsformedling_rese,2022,0
arbetsformedling_rese,2023,
offentlig_forv,2007,
offentlig_forv,2008,0
offentlig_forv,2009,0
offentlig_forv,2010,0
offentlig_forv,2011,0
offentlig_forv,2012,0
offentlig_forv,2013,0
offentlig_forv,2014,0
offentlig_forv,2015,0
offentlig_forv,2016,0
offentlig_forv,2017,0
offentlig_forv,2018,0
offentlig_forv,2019,0
offentlig_forv,2020,0
offentlig_forv,2021,0
offentlig_forv,2022,0
offentlig_forv,2023,
utbildning,2007,
utbildning,2008,0
utbildning,2009,0
utbildning,2010,0
utbildning,2011,0
utbildning,2012,0
utbildning,2013,0
utbildning,2014,0
utbildning,2015,0
utbildning,2016,0
utbildning,2017,0
utbildning,2018,0
utbildning,2019,0
utbildning,2020,0
utbildning,2021,0
utbildning,2022,0
utbildning,2023,
halso,2007,
halso,2008,0
halso,2009,0
halso,2010,0
halso,2011,0
halso,2012,0
halso,2013,0
halso,2014,0
halso,2015,0
halso,2016,0
halso,2017,0
halso,2018,0
halso,2019,0
halso,2020,0
halso,2021,0
halso,2022,0
halso,2023,
vard,2007,
vard,2008,0
vard,2009,0
vard,2010,0
vard,2011,0
vard,2012,0
vard,2013,0
vard,2014,0
vard,2015,0
vard,2016,0
vard,2017,0
vard,2018,0
vard,2019,0
vard,2020,0
vard,2021,0
vard,2022,0
vard,2023,
kultur_noje,2007,
kultur_noje,2008,0
kultur_noje,2009,0
kultur_noje,2010,0
kultur_noje,2011,0
kultur_noje,2012,0
kultur_noje,2013,0
kultur_noje,2014,0
kultur_noje,2015,0
kultur_noje,2016,0
kultur_noje,2017,0
