sni_id,year,hushall_icke_farl
avfallshantering_ater,2000,
avfallshantering_ater,2001,
avfallshantering_ater,2002,
avfallshantering_ater,2003,
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,
avfallshantering_ater,2007,
avfallshantering_ater,2008,
avfallshantering_ater,2009,
avfallshantering_ater,2010,
avfallshantering_ater,2011,
avfallshantering_ater,2012,
avfallshantering_ater,2013,
avfallshantering_ater,2014,80
avfallshantering_ater,2015,
avfallshantering_ater,2016,80
avfallshantering_ater,2017,
avfallshantering_ater,2018,60
avfallshantering_ater,2019,
avfallshantering_ater,2020,1250
avfallshantering_ater,2021,
avfallshantering_ater,2022,10500
avfallshantering_ater,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,
bygg,2009,
bygg,2010,
bygg,2011,
bygg,2012,
bygg,2013,
bygg,2014,24000
bygg,2015,
bygg,2016,22300
bygg,2017,
bygg,2018,24200
bygg,2019,
bygg,2020,25900
bygg,2021,
bygg,2022,25900
bygg,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,
el_gas,2009,
el_gas,2010,
el_gas,2011,
el_gas,2012,
el_gas,2013,
el_gas,2014,1970
el_gas,2015,
el_gas,2016,2060
el_gas,2017,
el_gas,2018,2110
el_gas,2019,
el_gas,2020,2530
el_gas,2021,
el_gas,2022,2530
el_gas,2023,
hushall_hh,2000,
hushall_hh,2001,
hushall_hh,2002,
hushall_hh,2003,
hushall_hh,2004,
hushall_hh,2005,
hushall_hh,2006,
hushall_hh,2007,
hushall_hh,2008,
hushall_hh,2009,
hushall_hh,2010,
hushall_hh,2011,
hushall_hh,2012,
hushall_hh,2013,
hushall_hh,2014,1676000
hushall_hh,2015,
hushall_hh,2016,1765000
hushall_hh,2017,
hushall_hh,2018,1842000
hushall_hh,2019,
hushall_hh,2020,1748000
hushall_hh,2021,
hushall_hh,2022,1683000
hushall_hh,2023,
industri_for_sten,2000,
industri_for_sten,2001,
industri_for_sten,2002,
industri_for_sten,2003,
industri_for_sten,2004,
industri_for_sten,2005,
industri_for_sten,2006,
industri_for_sten,2007,
industri_for_sten,2008,
industri_for_sten,2009,
industri_for_sten,2010,
industri_for_sten,2011,
industri_for_sten,2012,
